age,home_country,destination_country,education,employment,monthly_income,travel_purpose,travel_history,criminal_record,english_level,visa_approved
30,Brazil,Germany,HighSchool,Unemployed,59292,Study,0,0,High,0
32,Mexico,Australia,HighSchool,Unemployed,76528,Business,0,0,Medium,0
36,Nigeria,Canada,Masters,Unemployed,82634,Study,1,0,Low,0
37,India,Germany,HighSchool,Employed,23012,Tourist,0,0,Medium,0
42,Mexico,UK,Bachelors,Unemployed,41811,Business,3,1,Medium,0
41,Brazil,USA,Masters,Unemployed,95823,Tourist,2,0,High,1
25,India,Australia,Bachelors,Employed,42752,Study,3,0,Low,1
36,Mexico,Australia,HighSchool,Unemployed,19151,Tourist,1,0,Low,0
20,Brazil,Canada,Masters,Employed,17750,Tourist,3,0,Low,1
30,Mexico,Canada,HighSchool,Unemployed,67093,Study,0,0,High,0
23,Brazil,Canada,HighSchool,Unemployed,17664,Work,3,1,High,0
49,Philippines,UK,Masters,Unemployed,49487,Work,2,0,Medium,0
27,Nigeria,Germany,HighSchool,Unemployed,26254,Tourist,0,0,High,0
20,Brazil,UK,Bachelors,Unemployed,81444,Tourist,1,0,Low,0
37,India,UK,Masters,Employed,86088,Study,2,0,Medium,1
20,Nigeria,Australia,HighSchool,Unemployed,98052,Study,2,0,High,0
27,Nigeria,Australia,HighSchool,Unemployed,83324,Tourist,1,0,High,0
25,India,UK,Masters,Employed,32066,Work,0,1,High,0
23,India,Canada,Bachelors,Unemployed,91982,Tourist,2,0,High,1
42,India,UK,Bachelors,Employed,95968,Study,0,0,Low,0
23,India,Australia,Bachelors,Employed,37738,Study,3,0,Low,1
32,India,Germany,Bachelors,Employed,66203,Business,3,0,Low,1
24,Mexico,Germany,Bachelors,Employed,80326,Work,3,0,High,1
20,Philippines,Canada,HighSchool,Unemployed,60477,Tourist,3,0,High,1
34,Philippines,UK,Masters,Unemployed,10457,Tourist,3,0,Low,0
26,India,Canada,Masters,Employed,8061,Work,2,0,High,1
28,Mexico,Australia,Masters,Employed,28891,Work,2,0,Low,0
43,India,USA,Bachelors,Unemployed,86887,Business,1,0,Low,0
33,Brazil,Canada,Bachelors,Employed,52849,Work,2,0,Medium,1
47,Brazil,USA,Masters,Employed,82379,Business,0,0,High,1
43,Philippines,Canada,Masters,Unemployed,96392,Tourist,3,0,High,1
49,Mexico,UK,Bachelors,Employed,57746,Study,1,1,Medium,0
22,Nigeria,USA,Bachelors,Employed,36393,Work,2,0,Low,0
36,Philippines,Germany,Masters,Unemployed,68443,Tourist,1,0,Low,0
43,Mexico,Australia,Masters,Unemployed,55995,Study,3,0,Low,1
43,Brazil,Australia,Bachelors,Unemployed,92950,Study,0,0,Medium,0
22,Philippines,Canada,HighSchool,Employed,34761,Business,2,0,High,1
39,Nigeria,Germany,HighSchool,Employed,71332,Tourist,3,0,Medium,1
26,India,USA,HighSchool,Unemployed,21480,Business,0,0,High,0
46,Mexico,Germany,HighSchool,Unemployed,55316,Business,1,0,Low,0
29,Philippines,Germany,Bachelors,Employed,79338,Work,2,0,Medium,1
23,Philippines,Australia,Masters,Employed,87414,Business,0,0,High,1
30,Mexico,Australia,Bachelors,Unemployed,28281,Work,3,0,Low,0
49,Brazil,USA,HighSchool,Employed,84969,Work,1,0,High,1
44,Brazil,USA,Bachelors,Employed,50352,Work,2,0,Medium,1
44,Brazil,Canada,Bachelors,Employed,94495,Tourist,2,0,Low,1
36,Philippines,Canada,Bachelors,Unemployed,42035,Tourist,0,0,Medium,0
33,Brazil,UK,Masters,Employed,10603,Tourist,1,0,High,0
20,Philippines,USA,HighSchool,Unemployed,91740,Tourist,2,0,High,0
49,Nigeria,Australia,HighSchool,Unemployed,41392,Tourist,1,0,Medium,0
47,India,Canada,HighSchool,Employed,59524,Business,2,0,Low,1
46,India,UK,Masters,Unemployed,25954,Work,2,0,High,0
47,India,Canada,HighSchool,Employed,11534,Work,0,0,Medium,0
27,Brazil,Australia,Masters,Employed,9818,Business,0,1,Medium,0
19,Philippines,Australia,Bachelors,Employed,92317,Business,1,0,High,1
34,Mexico,Germany,HighSchool,Employed,93159,Study,2,0,Medium,1
32,Philippines,Germany,HighSchool,Unemployed,90528,Work,0,0,High,0
22,Brazil,Canada,Bachelors,Unemployed,69654,Study,2,0,High,1
42,Nigeria,USA,Masters,Employed,49099,Tourist,2,0,High,1
47,Nigeria,USA,HighSchool,Unemployed,86109,Business,1,0,Low,0
38,India,Canada,HighSchool,Employed,74460,Study,2,0,High,1
45,Brazil,UK,HighSchool,Employed,79644,Tourist,1,0,Low,0
48,Philippines,Australia,HighSchool,Unemployed,20212,Study,2,0,High,0
43,India,Canada,Bachelors,Unemployed,94960,Study,3,0,Medium,1
30,India,UK,Masters,Unemployed,12904,Study,2,0,High,0
28,Brazil,Australia,Masters,Unemployed,58235,Tourist,3,0,Medium,1
32,Philippines,Germany,Bachelors,Unemployed,61033,Tourist,3,0,Medium,1
41,Nigeria,Canada,Masters,Employed,31844,Study,0,0,Low,0
37,Brazil,UK,Bachelors,Employed,97704,Business,2,0,High,1
28,Brazil,USA,Masters,Employed,13352,Work,3,0,Medium,1
33,Philippines,Australia,Bachelors,Unemployed,52515,Tourist,1,0,Low,0
42,India,Germany,Bachelors,Employed,83579,Study,1,0,High,1
21,Nigeria,Germany,Bachelors,Employed,15081,Study,1,0,High,1
22,Philippines,Australia,Masters,Employed,19252,Tourist,0,0,High,0
48,Nigeria,USA,Masters,Unemployed,19107,Business,0,0,Medium,0
42,India,Canada,HighSchool,Employed,45583,Business,3,0,High,1
38,Mexico,Germany,Bachelors,Employed,91270,Study,1,0,Low,1
28,India,Australia,HighSchool,Employed,73460,Business,1,0,Medium,0
21,Brazil,Canada,Bachelors,Employed,38170,Work,0,0,Low,0
41,Brazil,UK,Masters,Unemployed,32507,Work,3,0,Medium,1
46,India,Germany,Bachelors,Unemployed,49116,Tourist,2,0,Medium,0
34,Nigeria,Germany,Bachelors,Employed,17091,Business,3,0,Low,1
43,Mexico,Australia,Bachelors,Unemployed,87478,Study,2,0,Low,0
24,Mexico,UK,Bachelors,Employed,60910,Business,2,0,High,1
28,Philippines,Germany,Bachelors,Employed,94157,Tourist,1,1,High,0
